Type,domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,having_repeated_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
1,18,3,0,0,1,0,2,3,0,3.350209029
1,21,6,1,0,9,0,2,4,0,3.499227542
1,11,1,0,1,6,0,1,8,1,3.095795255
1,9,1,0,0,0,0,1,5,0,2.419381946
1,21,5,3,0,11,0,2,3,0,3.653756708
1,20,3,2,1,32,0,2,3,0,3.68418372
1,16,5,0,2,1,0,2,3,0,3.327819531
1,17,3,0,0,2,0,2,3,0,3.337175341
1,21,3,2,0,15,1,2,15,15,3.43993647
1,15,4,0,0,1,0,2,3,0,3.323231429
1,13,2,0,0,3,0,1,9,0,3.39274741
1,29,3,0,4,32,0,3,10,0,3.581444788
1,28,2,0,0,2,0,2,15,2,3.79790269
1,17,2,0,0,0,0,2,11,0,3.175123135
1,10,4,0,0,0,0,2,3,0,2.721928095
1,13,2,0,0,0,0,2,3,0,2.777362795
1,18,3,0,0,0,0,3,3,0,3.377443751
1,14,2,0,0,9,0,1,10,1,3.324862958
1,20,2,0,0,0,0,1,16,0,3.78418372
1,16,2,1,0,0,0,2,4.5,0,3.375
1,12,5,1,7,8,0,1,9,0,3.418295834
1,21,4,0,1,0,0,2,3,0,3.463280518
1,15,2,1,0,62,0,1,10,0,3.189898095
1,16,2,0,0,1,0,1,12,0,3.702819531
1,18,2,0,0,21,0,2,6,0,3.413833864
1,18,2,0,0,0,0,2,3,0,3.308270835
1,17,2,0,0,2,1,2,6,0,3.734521665
1,19,4,0,0,0,0,3,3,0,3.431623566
1,17,2,1,0,5,0,1,6.5,0,3.852168724
1,25,7,1,1,0,0,3,3,0,3.78346519
1,11,2,0,1,25,0,1,7,0,3.095795255
1,15,3,0,0,74,0,2,3,0,3.106890596
1,16,3,0,0,0,0,2,9,0,3.5
1,28,5,0,2,1,0,4,6,0,3.494680368
1,17,3,2,2,20,0,2,3,0,3.572469459
1,14,2,0,0,19,0,2,3,0,3.039148672
1,9,4,0,1,0,0,3,32,0,3.625814584
1,16,1,3,2,3,0,1,13,0,3.625
1,29,2,1,0,0,0,1,25,0,3.78834134
1,11,3,3,0,0,0,2,13.75,0,3.155221529
1,8,1,0,0,23,0,1,5,0,3
1,22,2,0,0,0,0,2,3,0,3.317640006
1,37,4,0,0,0,0,4,3,0,3.580678703
1,18,6,1,1,2,0,2,11,0,3.503258335
1,13,6,1,7,8,0,2,3,0,2.81507241
1,13,2,0,0,3,0,1,9,0,3.39274741
1,22,3,0,0,15,0,2,3,0,3.572623664
1,9,2,0,0,0,0,1,5,0,2.947702779
